distribution,distribution_label,hours_to_pep,ci_95_width,mean_efficacy,regime,ci_width_peak_hour
pwid_mixed_treatment,PWID (mixed treatment status),112.65,0.0007,0.0001,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),115.1,0.0004,0.0001,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),117.55,0.0003,0.0001,3_late_window,58.8
pwid_mixed_treatment,PWID (mixed treatment status),120.0,0.0002,0.0,3_late_window,58.8
general_community,General HIV+ community,0.0,0.0418,0.9804,1_early_window,56.3
general_community,General HIV+ community,2.45,0.0579,0.9744,1_early_window,56.3
general_community,General HIV+ community,4.9,0.079,0.966,1_early_window,56.3
general_community,General HIV+ community,7.35,0.1056,0.9547,1_early_window,56.3
general_community,General HIV+ community,9.8,0.1375,0.9396,1_early_window,56.3
general_community,General HIV+ community,12.24,0.1737,0.9201,1_early_window,56.3
general_community,General HIV+ community,14.69,0.2117,0.8957,1_early_window,56.3
general_community,General HIV+ community,17.14,0.2485,0.866,1_early_window,56.3
general_community,General HIV+ community,19.59,0.2805,0.8314,1_early_window,56.3
general_community,General HIV+ community,22.04,0.3048,0.7928,2_critical_window,56.3
general_community,General HIV+ community,24.49,0.3201,0.7516,2_critical_window,56.3
general_community,General HIV+ community,26.94,0.3266,0.7096,2_critical_window,56.3
general_community,General HIV+ community,29.39,0.3269,0.6686,2_critical_window,56.3
general_community,General HIV+ community,31.84,0.3251,0.6298,2_critical_window,56.3
general_community,General HIV+ community,34.29,0.3266,0.5941,2_critical_window,56.3
general_community,General HIV+ community,36.73,0.3362,0.5616,2_critical_window,56.3
general_community,General HIV+ community,39.18,0.3559,0.5317,2_critical_window,56.3
general_community,General HIV+ community,41.63,0.3835,0.5034,2_critical_window,56.3
general_community,General HIV+ community,44.08,0.4138,0.4755,2_critical_window,56.3
general_community,General HIV+ community,46.53,0.4413,0.4466,2_critical_window,56.3
general_community,General HIV+ community,48.98,0.4626,0.4159,2_critical_window,56.3
general_community,General HIV+ community,51.43,0.4771,0.3826,2_critical_window,56.3
general_community,General HIV+ community,53.88,0.4856,0.3467,2_critical_window,56.3
general_community,General HIV+ community,56.33,0.4892,0.3087,2_critical_window,56.3
general_community,General HIV+ community,58.78,0.4889,0.2693,2_critical_window,56.3
general_community,General HIV+ community,61.22,0.485,0.23,2_critical_window,56.3
general_community,General HIV+ community,63.67,0.4769,0.1919,2_critical_window,56.3
general_community,General HIV+ community,66.12,0.4633,0.1563,2_critical_window,56.3
general_community,General HIV+ community,68.57,0.4425,0.1242,2_critical_window,56.3
general_community,General HIV+ community,71.02,0.4121,0.0961,2_critical_window,56.3
general_community,General HIV+ community,73.47,0.3705,0.0724,2_critical_window,56.3
general_community,General HIV+ community,75.92,0.3182,0.053,2_critical_window,56.3
general_community,General HIV+ community,78.37,0.2586,0.0377,2_critical_window,56.3
general_community,General HIV+ community,80.82,0.198,0.026,2_critical_window,56.3
general_community,General HIV+ community,83.27,0.1433,0.0174,2_critical_window,56.3
general_community,General HIV+ community,85.71,0.0988,0.0114,2_critical_window,56.3
general_community,General HIV+ community,88.16,0.0655,0.0073,3_late_window,56.3
general_community,General HIV+ community,90.61,0.0423,0.0046,3_late_window,56.3
general_community,General HIV+ community,93.06,0.0268,0.0029,3_late_window,56.3
general_community,General HIV+ community,95.51,0.0168,0.0018,3_late_window,56.3
general_community,General HIV+ community,97.96,0.0104,0.0011,3_late_window,56.3
general_community,General HIV+ community,100.41,0.0064,0.0007,3_late_window,56.3
general_community,General HIV+ community,102.86,0.004,0.0004,3_late_window,56.3
general_community,General HIV+ community,105.31,0.0024,0.0003,3_late_window,56.3
general_community,General HIV+ community,107.76,0.0015,0.0002,3_late_window,56.3
general_community,General HIV+ community,110.2,0.0009,0.0001,3_late_window,56.3
general_community,General HIV+ community,112.65,0.0006,0.0001,3_late_window,56.3
general_community,General HIV+ community,115.1,0.0003,0.0,3_late_window,56.3
general_community,General HIV+ community,117.55,0.0002,0.0,3_late_window,56.3
general_community,General HIV+ community,120.0,0.0001,0.0,3_late_window,56.3
acute_infection_enriched,Acute-infection-enriched network,0.0,0.0539,0.9689,1_early_window,49.0
acute_infection_enriched,Acute-infection-enriched network,2.45,0.0734,0.9583,1_early_window,49.0
acute_infection_enriched,Acute-infection-enriched network,4.9,0.0976,0.9441,1_early_window,49.0
acute_infection_enriched,Acute-infection-enriched network,7.35,0.1263,0.9253,1_early_window,49.0
acute_infection_enriched,Acute-infection-enriched network,9.8,0.1581,0.9012,1_early_window,49.0
acute_infection_enriched,Acute-infection-enriched network,12.24,0.1905,0.8715,1_early_window,49.0
acute_infection_enriched,Acute-infection-enriched network,14.69,0.2201,0.8362,1_early_window,49.0
acute_infection_enriched,Acute-infection-enriched network,17.14,0.2436,0.7963,1_early_window,49.0
acute_infection_enriched,Acute-infection-enriched network,19.59,0.259,0.7533,1_early_window,49.0
acute_infection_enriched,Acute-infection-enriched network,22.04,0.266,0.7092,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,24.49,0.2674,0.666,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,26.94,0.2678,0.6251,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,29.39,0.2732,0.5872,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,31.84,0.2883,0.5518,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,34.29,0.3146,0.5179,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,36.73,0.349,0.4841,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,39.18,0.3853,0.4487,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,41.63,0.4172,0.4106,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,44.08,0.4408,0.3691,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,46.53,0.4548,0.3247,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,48.98,0.4592,0.2783,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,51.43,0.4542,0.2319,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,53.88,0.4392,0.1874,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,56.33,0.413,0.1468,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,58.78,0.3746,0.1114,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,61.22,0.3245,0.0819,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,63.67,0.2661,0.0585,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,66.12,0.2055,0.0406,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,68.57,0.1499,0.0275,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,71.02,0.1039,0.0182,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,73.47,0.0693,0.0118,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,75.92,0.0449,0.0076,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,78.37,0.0285,0.0048,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,80.82,0.0179,0.003,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,83.27,0.0111,0.0019,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,85.71,0.0069,0.0012,2_critical_window,49.0
acute_infection_enriched,Acute-infection-enriched network,88.16,0.0042,0.0007,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,90.61,0.0026,0.0004,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,93.06,0.0016,0.0003,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,95.51,0.001,0.0002,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,97.96,0.0006,0.0001,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,100.41,0.0004,0.0001,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,102.86,0.0002,0.0,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,105.31,0.0001,0.0,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,107.76,0.0001,0.0,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,110.2,0.0001,0.0,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,112.65,0.0,0.0,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,115.1,0.0,0.0,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,117.55,0.0,0.0,3_late_window,49.0
acute_infection_enriched,Acute-infection-enriched network,120.0,0.0,0.0,3_late_window,49.0
