distribution,distribution_label,hours_to_pep,mean_efficacy,median_efficacy,ci_95_lower,ci_95_upper,ci_50_lower,ci_50_upper,ci_95_width,p_below_50pct,p_below_30pct,p_futile
pwid_mixed_treatment,PWID (mixed treatment status),41.63,0.5299,0.546,0.2435,0.6305,0.5074,0.5862,0.3869,0.2252,0.0392,0.0066
pwid_mixed_treatment,PWID (mixed treatment status),44.08,0.5026,0.5282,0.1818,0.5981,0.4851,0.5622,0.4164,0.308,0.0578,0.012
pwid_mixed_treatment,PWID (mixed treatment status),46.53,0.4764,0.5124,0.1287,0.572,0.4584,0.5434,0.4433,0.4194,0.086,0.0182
pwid_mixed_treatment,PWID (mixed treatment status),48.98,0.4503,0.4966,0.0874,0.5516,0.4243,0.5285,0.4643,0.5222,0.1192,0.03
pwid_mixed_treatment,PWID (mixed treatment status),51.43,0.4234,0.4783,0.0574,0.536,0.3805,0.5162,0.4786,0.6222,0.1658,0.0458
pwid_mixed_treatment,PWID (mixed treatment status),53.88,0.395,0.4551,0.0368,0.5239,0.3267,0.505,0.487,0.7122,0.2246,0.0684
pwid_mixed_treatment,PWID (mixed treatment status),56.33,0.3646,0.4239,0.0233,0.5141,0.266,0.4932,0.4908,0.795,0.289,0.0984
pwid_mixed_treatment,PWID (mixed treatment status),58.78,0.3324,0.3827,0.0146,0.5056,0.2043,0.4789,0.491,0.8616,0.3722,0.1384
pwid_mixed_treatment,PWID (mixed treatment status),61.22,0.2987,0.331,0.0091,0.4969,0.1483,0.4598,0.4878,1.0,0.4518,0.1848
pwid_mixed_treatment,PWID (mixed treatment status),63.67,0.2641,0.2715,0.0057,0.4866,0.1025,0.4333,0.4809,1.0,0.5406,0.2444
pwid_mixed_treatment,PWID (mixed treatment status),66.12,0.2294,0.21,0.0035,0.4728,0.0682,0.3969,0.4693,1.0,0.6164,0.3168
pwid_mixed_treatment,PWID (mixed treatment status),68.57,0.1952,0.1534,0.0022,0.4535,0.0441,0.3497,0.4513,1.0,0.6924,0.4062
pwid_mixed_treatment,PWID (mixed treatment status),71.02,0.1624,0.1066,0.0013,0.426,0.028,0.293,0.4246,1.0,0.7582,0.485
pwid_mixed_treatment,PWID (mixed treatment status),73.47,0.1315,0.0712,0.0008,0.3881,0.0176,0.2318,0.3872,1.0,0.8188,0.5682
pwid_mixed_treatment,PWID (mixed treatment status),75.92,0.1032,0.0462,0.0005,0.3391,0.0109,0.1729,0.3386,1.0,0.8682,0.6466
pwid_mixed_treatment,PWID (mixed treatment status),78.37,0.078,0.0293,0.0003,0.2814,0.0068,0.1223,0.2811,1.0,1.0,0.7144
pwid_mixed_treatment,PWID (mixed treatment status),80.82,0.0566,0.0184,0.0002,0.2202,0.0042,0.0827,0.22,1.0,1.0,0.78
pwid_mixed_treatment,PWID (mixed treatment status),83.27,0.0395,0.0115,0.0001,0.1626,0.0026,0.0542,0.1625,1.0,1.0,0.834
pwid_mixed_treatment,PWID (mixed treatment status),85.71,0.0266,0.0071,0.0001,0.114,0.0016,0.0346,0.1139,1.0,1.0,0.882
pwid_mixed_treatment,PWID (mixed treatment status),88.16,0.0174,0.0044,0.0,0.0766,0.001,0.0218,0.0765,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),90.61,0.0111,0.0027,0.0,0.0499,0.0006,0.0136,0.0498,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),93.06,0.007,0.0017,0.0,0.0318,0.0004,0.0084,0.0318,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),95.51,0.0044,0.001,0.0,0.02,0.0002,0.0052,0.02,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),97.96,0.0027,0.0006,0.0,0.0124,0.0001,0.0032,0.0124,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),100.41,0.0017,0.0004,0.0,0.0077,0.0001,0.002,0.0077,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),102.86,0.001,0.0002,0.0,0.0047,0.0001,0.0012,0.0047,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),105.31,0.0006,0.0001,0.0,0.0029,0.0,0.0007,0.0029,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),107.76,0.0004,0.0001,0.0,0.0018,0.0,0.0005,0.0018,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),110.2,0.0002,0.0001,0.0,0.0011,0.0,0.0003,0.0011,1.0,1.0,1.0
