city,state,late_dx_pct,retention,delta_t_struct_h,delta_t_pharmacy_h,delta_t_total_h,E_PEP_R3,past_t_crit
SanAntonio,Texas,19.9,0.742,5.9,0,5.9,0.9769973669368232,False
SanAntonio,Texas,19.9,0.742,5.9,2,7.9,0.975523247634281,False
SanAntonio,Texas,19.9,0.742,5.9,4,9.9,0.9739251569829173,False
SanAntonio,Texas,19.9,0.742,5.9,6,11.9,0.9727462654538521,False
SanAntonio,Texas,19.9,0.742,5.9,8,13.9,0.9713811503828379,False
SanAntonio,Texas,19.9,0.742,5.9,10,15.9,0.96964913742496,False
SanAntonio,Texas,19.9,0.742,5.9,12,17.9,0.9674359555230553,False
BrowardCO,Florida,18.7,0.755,6.5,0,6.5,0.9765745332423071,False
BrowardCO,Florida,18.7,0.755,6.5,2,8.5,0.9750492321177576,False
BrowardCO,Florida,18.7,0.755,6.5,4,10.5,0.9735272402522336,False
BrowardCO,Florida,18.7,0.755,6.5,6,12.5,0.9723716285711013,False
BrowardCO,Florida,18.7,0.755,6.5,8,14.5,0.9709063366082535,False
BrowardCO,Florida,18.7,0.755,6.5,10,16.5,0.9690447735505112,False
BrowardCO,Florida,18.7,0.755,6.5,12,18.5,0.9666577021512006,False
Phoenix,Arizona,20.2,0.813,3.9,0,3.9,0.9782989278666162,False
Phoenix,Arizona,20.2,0.813,3.9,2,5.9,0.9769973669368232,False
Phoenix,Arizona,20.2,0.813,3.9,4,7.9,0.975523247634281,False
Phoenix,Arizona,20.2,0.813,3.9,6,9.9,0.9739251569829173,False
Phoenix,Arizona,20.2,0.813,3.9,8,11.9,0.9727462654538521,False
Phoenix,Arizona,20.2,0.813,3.9,10,13.9,0.9713811503828379,False
Phoenix,Arizona,20.2,0.813,3.9,12,15.9,0.96964913742496,False
Bridgeport,Connecticut,18.7,0.813,5.5,0,5.5,0.9772719390011452,False
Bridgeport,Connecticut,18.7,0.813,5.5,2,7.5,0.9758328627400124,False
Bridgeport,Connecticut,18.7,0.813,5.5,4,9.5,0.9742397540610144,False
Bridgeport,Connecticut,18.7,0.813,5.5,6,11.5,0.9729839053523568,False
Bridgeport,Connecticut,18.7,0.813,5.5,8,13.5,0.9716823360436557,False
Bridgeport,Connecticut,18.7,0.813,5.5,10,15.5,0.9700319119607596,False
Bridgeport,Connecticut,18.7,0.813,5.5,12,17.5,0.9679273324647892,False
FortWorth,Texas,20.0,0.7609999999999999,5.5,0,5.5,0.9772719390011452,False
FortWorth,Texas,20.0,0.7609999999999999,5.5,2,7.5,0.9758328627400124,False
FortWorth,Texas,20.0,0.7609999999999999,5.5,4,9.5,0.9742397540610144,False
FortWorth,Texas,20.0,0.7609999999999999,5.5,6,11.5,0.9729839053523568,False
FortWorth,Texas,20.0,0.7609999999999999,5.5,8,13.5,0.9716823360436557,False
FortWorth,Texas,20.0,0.7609999999999999,5.5,10,15.5,0.9700319119607596,False
FortWorth,Texas,20.0,0.7609999999999999,5.5,12,17.5,0.9679273324647892,False
KansasCity,Missouri,16.7,0.789,4.3,0,4.3,0.978051287193038,False
