realization_idx,V0,log10_V0,outcome,extincted,integrated,T_int_hours,handoff_time_hours
14,3,0.47712125471966244,integrated,False,True,54.46180701811535,44.1359999999978
15,3,0.47712125471966244,integrated,False,True,56.3088512216666,44.879999999997715
16,3,0.47712125471966244,extinct,True,False,,
17,3,0.47712125471966244,extinct,True,False,,
18,3,0.47712125471966244,integrated,False,True,54.641204701103575,43.89599999999783
19,3,0.47712125471966244,integrated,False,True,55.23815588089627,44.279999999997784
20,3,0.47712125471966244,integrated,False,True,55.533468413891256,44.39999999999777
21,3,0.47712125471966244,integrated,False,True,56.08553178321942,44.66399999999774
22,3,0.47712125471966244,integrated,False,True,55.10834527512064,44.1119999999978
23,3,0.47712125471966244,integrated,False,True,54.72134235686005,43.89599999999783
24,3,0.47712125471966244,integrated,False,True,54.843246019042425,44.063999999997804
25,3,0.47712125471966244,integrated,False,True,55.418289707374726,44.47199999999776
26,3,0.47712125471966244,integrated,False,True,54.740298482991335,44.23199999999779
27,3,0.47712125471966244,integrated,False,True,54.76292005566301,44.1359999999978
28,3,0.47712125471966244,integrated,False,True,55.39515068627335,44.39999999999777
29,3,0.47712125471966244,extinct,True,False,,
30,3,0.47712125471966244,integrated,False,True,55.289698270785244,44.23199999999779
31,3,0.47712125471966244,integrated,False,True,53.832571412607365,43.67999999999785
32,3,0.47712125471966244,integrated,False,True,54.04406795125253,43.75199999999784
33,3,0.47712125471966244,integrated,False,True,54.728323599107014,43.72799999999784
34,3,0.47712125471966244,integrated,False,True,55.436543826322286,44.47199999999776
35,3,0.47712125471966244,extinct,True,False,,
36,3,0.47712125471966244,extinct,True,False,,
37,3,0.47712125471966244,extinct,True,False,,
38,3,0.47712125471966244,integrated,False,True,54.057430666918876,43.84799999999783
39,3,0.47712125471966244,integrated,False,True,54.57508245712806,43.94399999999782
40,3,0.47712125471966244,extinct,True,False,,
41,3,0.47712125471966244,integrated,False,True,54.35594343285652,43.84799999999783
42,3,0.47712125471966244,integrated,False,True,54.803984099870846,43.775999999997836
43,3,0.47712125471966244,integrated,False,True,54.48841635434107,43.91999999999782
44,3,0.47712125471966244,integrated,False,True,54.77185970754398,43.84799999999783
45,3,0.47712125471966244,integrated,False,True,54.61943377190536,44.1359999999978
46,3,0.47712125471966244,integrated,False,True,55.07906847917346,44.42399999999777
47,3,0.47712125471966244,integrated,False,True,54.48555800181319,44.03999999999781
48,3,0.47712125471966244,integrated,False,True,55.21990550644949,44.20799999999779
49,3,0.47712125471966244,integrated,False,True,76.55755189173125,65.63999999999544
50,3,0.47712125471966244,integrated,False,True,55.05945223057747,44.087999999997805
51,3,0.47712125471966244,integrated,False,True,56.36570154374783,44.95199999999771
52,3,0.47712125471966244,integrated,False,True,56.69161856920519,45.695999999997625
53,3,0.47712125471966244,integrated,False,True,54.95646252632542,44.063999999997804
54,3,0.47712125471966244,integrated,False,True,55.37823906695752,44.879999999997715
55,3,0.47712125471966244,integrated,False,True,55.061552818551284,44.30399999999778
56,3,0.47712125471966244,integrated,False,True,54.3215018992414,43.72799999999784
57,3,0.47712125471966244,integrated,False,True,56.29056388600162,44.783999999997725
58,3,0.47712125471966244,integrated,False,True,56.01665697872675,44.61599999999775
59,3,0.47712125471966244,integrated,False,True,54.72398338976632,44.159999999997794
