exposure_id,source_viral_load,t_seed_hours,t_int_hours,pep_success_expectation
90,26100.25650613475,16.06001300235331,21.42564554026236,0.05
96,30296.104428212446,9.617933292809841,19.821218403061224,0.05
42,30586.566669785225,8.328051975293645,29.644410458740303,0.5
28,34890.18845491385,9.54031824379248,45.189563052071016,0.5
48,36324.86956676604,7.452693392093328,18.353344327277952,0.05
97,36999.724314638064,12.730027667785452,46.621727393078274,0.5
18,37520.55855124279,11.485002175017057,20.701575685526773,0.05
66,42470.58562261872,22.025512986492934,29.936060626856364,0.5
49,43664.73592979628,16.4044407154919,26.47706179394365,0.5
94,48287.152161792124,9.436775614040185,32.12669751257725,0.5
29,59874.74910461404,11.764483077951292,18.961337853825945,0.05
55,62187.04727769079,6.6745521201792934,23.494413344763586,0.05
4,62513.73574521747,5.5883138149818805,74.98571166122454,0.5
9,63583.58856676252,8.999923331490423,27.807665465354663,0.5
31,66471.35865318029,26.730540896639404,35.509064460877845,0.95
21,68479.20095574785,13.991000901177474,22.11869412454128,0.05
82,74112.99781083233,14.930334705989063,23.304114258863688,0.05
88,81784.76574339534,8.756256239668097,20.766003971654666,0.05
46,97177.75305059626,8.320076864421983,15.403306861138221,0.05
39,112901.3355909266,10.983853503765202,25.631226158642523,0.5
75,131999.42261535002,12.97007155332936,18.398970236104656,0.05
10,133112.16080736887,9.553635018822746,35.73307629784143,0.5
92,137954.0204020418,17.315620859021198,17.315620859021198,0.05
76,153823.08040278984,13.311889480606677,37.80679017217052,0.5
87,154460.89075047077,9.32511035234536,9.32511035234536,0.05
3,157029.70884055368,11.985106505307492,25.352517175120525,0.5
93,191582.19548093155,10.282836999018572,23.508886492957778,0.05
95,205542.45520150734,7.873788900575784,44.01910003190448,0.5
77,205973.3535743719,8.570353473049513,55.343026044620856,0.5
71,207364.45177905032,6.8342377716349825,23.08419364416041,0.05
52,211542.90797261219,8.955277767777039,18.81575526309552,0.05
26,226739.8652378038,9.446632077806983,32.4718138397474,0.5
68,255029.80701628883,11.96024693989906,35.6410168004671,0.5
36,266190.18884890573,10.941258338353586,38.894245600635024,0.5
74,279501.5916508336,12.426229617107179,30.29935566253304,0.5
63,306346.22106220777,15.210093856759563,21.007980637310013,0.05
13,314288.08908401063,8.804677743682056,19.700195930550947,0.05
81,388427.775470314,22.873868182443186,39.45804016652361,0.5
8,396760.5077052987,8.685893630752286,30.254595433060686,0.5
89,458815.65491609706,15.66214538197732,23.362165127412073,0.05
54,483595.27764659526,8.606026697415135,31.840499831059116,0.5
44,534516.6110646812,14.208885575006688,25.842024345645562,0.5
56,582938.4542994744,10.699866808322085,26.86253171753598,0.5
53,658410.6160121609,10.737129300550922,19.454754934332676,0.05
34,702516.6339242151,9.957134828896333,90.04238490233419,0.5
2,711447.6009343424,9.082047015064033,40.1281970837024,0.5
35,788671.412999049,4.673571975877161,29.59116919973478,0.5
51,810501.6126411577,6.79564308292572,24.903460781839936,0.5
12,812324.5085588685,11.600423387791984,23.77675261411522,0.05
70,913399.5846860971,13.820667384608283,21.586790388837336,0.05
