exposure_id,source_viral_load,transmission_prob,individual_t_int_hours,pep_success_expectation
34,702516.6339242151,0.00584665661176,90.04238490233419,0.433
35,788671.412999049,0.005896896099223678,29.59116919973478,0.433
36,266190.18884890573,0.005425192044349384,38.894245600635024,0.433
37,8200.51840224583,0.003913841307520112,50.71841620306318,0.433
38,1963.4341572933315,0.0032930163420191515,54.44463995556478,0.433
39,112901.3355909266,0.00505269907953647,25.631226158642523,0.433
40,20914.981329035585,0.004320457481218804,43.026838650058124,0.433
41,2323.35035153901,0.003366114704534336,32.983911046524256,0.433
42,30586.566669785225,0.0044855307303338105,29.644410458740303,0.433
43,1268.1352169084594,0.0031031655633456555,39.412349296874055,0.433
44,534516.6110646812,0.005727961206236346,25.842024345645562,0.433
45,5975.027999960292,0.0037763399448000508,83.08601301012264,0.433
46,97177.75305059626,0.0049875668530619454,15.403306861138221,0.433
47,8612.579192594878,0.003935133228268233,46.098299503288864,0.433
48,36324.86956676604,0.004560204063533433,18.353344327277952,0.433
49,43664.73592979628,0.004640130838029838,26.47706179394365,0.433
50,3585.612610345395,0.003554563366576581,58.43895523389328,0.433
51,810501.6126411577,0.005908753883293675,24.903460781839936,0.433
52,211542.90797261219,0.005325398470083344,18.81575526309552,0.433
53,658410.6160121609,0.005818496824692567,19.454754934332676,0.433
54,483595.27764659526,0.005684482051282947,31.840499831059116,0.433
55,62187.04727769079,0.004793699936433256,23.494413344763586,0.433
56,582938.4542994744,0.005765622705069351,26.86253171753598,0.433
57,1842.797040686453,0.0032654775061557585,44.77907509202884,0.433
58,3872.11803217458,0.0035879485872574355,32.232886725216744,0.433
59,1366.7272915456224,0.0031356818667316144,94.47585608737913,0.433
60,9462.175356461483,0.003975990992289793,44.828111325599274,0.433
61,14656.553886225329,0.004166031869068446,17.48677797989996,0.433
62,6516.990611177174,0.0038140470953216877,40.19968439723576,0.433
63,306346.22106220777,0.005486212527455788,21.007980637310013,0.433
64,11756.010900231842,0.004070259980080768,47.130793430122026,0.433
65,6963.114377829288,0.0038428035290621427,28.70151440897993,0.433
66,42470.58562261872,0.004628088249474746,29.936060626856364,0.433
67,2647.114182821817,0.003422772674924288,49.8628657572699,0.433
68,255029.80701628883,0.005406590942262118,35.6410168004671,0.433
69,1673.601016782578,0.0032236519310393126,29.827536960413916,0.433
70,913399.5846860971,0.005960660809801552,21.586790388837336,0.433
71,207364.45177905032,0.005316734307889972,23.08419364416041,0.433
72,3945.908811100001,0.0035961470446025175,32.14070015186689,0.433
73,1038.8823104027933,0.003016566351370807,86.46333244139699,0.433
74,279501.5916508336,0.005446384285364503,30.29935566253304,0.433
75,131999.42261535002,0.005120572031542851,18.398970236104656,0.433
76,153823.08040278984,0.005187021504122962,37.80679017217052,0.433
77,205973.3535743719,0.005313811040057837,55.343026044620856,0.433
78,1667.7615430197902,0.003222133955202271,63.254440834517915,0.433
79,11895.896737553554,0.004075397185632818,21.191905189251127,0.433
80,2226.420430376967,0.003347607178575389,36.548354419560916,0.433
81,388427.775470314,0.00558931027762678,39.45804016652361,0.433
82,74112.99781083233,0.004869894380482674,23.304114258863688,0.433
83,9833.181933644886,0.003992694074557947,41.87462377016803,0.433
84,1551.2259126484742,0.003190675050858071,58.57005991105296,0.433
85,8569.33192505398,0.003932946965146986,26.803645967656077,0.433
86,9452.571391072304,0.003975549966080241,35.50315533130991,0.433
87,154460.89075047077,0.005188818535014192,9.32511035234536,0.433
88,81784.76574339534,0.004912672414065639,20.766003971654666,0.433
89,458815.65491609706,0.00566163822772898,23.362165127412073,0.433
90,26100.25650613475,0.004416644775485848,21.42564554026236,0.433
91,2284.4556850020513,0.003358782737814905,74.25430487912311,0.433
92,137954.0204020418,0.0051397343616689855,17.315620859021198,0.433
93,191582.19548093155,0.0052823551458506925,23.508886492957778,0.433
94,48287.152161792124,0.004683831592708489,32.12669751257725,0.433
95,205542.45520150734,0.0053129015398636825,44.01910003190448,0.433
96,30296.104428212446,0.004481386789093172,19.821218403061224,0.433
97,36999.724314638064,0.004568198488145982,46.621727393078274,0.433
98,19170.041589170658,0.004282623055075649,33.740225322607024,0.433
99,1191.9481947918734,0.0030762573802322855,33.64448557302669,0.433
100,2107.047280657824,0.003323674280979914,50.613958958727125,0.433
