time_h,E_PEP_V0_1,P_int_V0_1,E_PEP_V0_3,P_int_V0_3,E_PEP_V0_10,P_int_V0_10,E_PEP_V0_30,P_int_V0_30,E_PEP_V0_100,P_int_V0_100,E_PEP_V0_300,P_int_V0_300,E_PEP_V0_1000,P_int_V0_1000,E_PEP_V0_3000,P_int_V0_3000,E_PEP_V0_10000,P_int_V0_10000
26.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
26.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
27.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
27.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
28.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
28.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
29.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
29.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.3165,0.367
30.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0
30.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0
31.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0
31.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0
32.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.08650000000000002,0.827,0.0,1.0,0.0,1.0
32.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0
33.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.5,0.0,0.428,0.144,0.0,1.0,0.0,1.0,0.0,1.0
33.5,0.95,0.0,0.95,0.0,0.95,0.0,0.8618,0.0,0.4915,0.017,0.017000000000000015,0.966,0.0,1.0,0.0,1.0,0.0,1.0
34.0,0.95,0.0,0.95,0.0,0.95,0.0,0.8603000000000001,0.003,0.020500000000000018,0.959,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
34.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7843,0.155,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
35.0,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
35.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
36.0,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
36.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
