t_acq_h,E_PEP_upper,E_PEP_lower,envelope_width,eps_drug_upper,eps_drug_lower,biology_term,P_seed,P_int,past_tcrit_upper,past_tcrit_lower
11.5,0.9729839053523568,0.19764324293275262,0.7753406624196042,0.9729839053523568,0.19764324293275262,1.0,0.0,0.0,False,False
12.0,0.972686855479226,0.19759210735821967,0.7750947481210063,0.972686855479226,0.19759210735821967,1.0,0.0,0.0,False,False
12.5,0.9723716285711013,0.19753863295568033,0.774832995615421,0.9723716285711013,0.19753863295568033,1.0,0.0,0.0,False,False
13.0,0.9720371728115219,0.19748265771254947,0.7745545150989724,0.9720371728115219,0.19748265771254947,1.0,0.0,0.0,False,False
13.5,0.9716823360436557,0.19742400420161227,0.7742583318420435,0.9716823360436557,0.19742400420161227,1.0,0.0,0.0,False,False
14.0,0.9713058539676335,0.19736247770587895,0.7739433762617545,0.9713058539676335,0.19736247770587895,1.0,0.0,0.0,False,False
14.5,0.9709063366082535,0.19729786406268884,0.7736084725455648,0.9709063366082535,0.19729786406268884,1.0,0.0,0.0,False,False
15.0,0.9704822527484421,0.1972299271767629,0.7732523255716792,0.9704822527484421,0.1972299271767629,1.0,0.0,0.0,False,False
15.5,0.9700319119607596,0.19715840614133137,0.7728735058194282,0.9700319119607596,0.19715840614133137,1.0,0.0,0.0,False,False
16.0,0.96955344379101,0.1970830118933245,0.7724704318976856,0.96955344379101,0.1970830118933245,1.0,0.0,0.0,False,False
16.5,0.9690447735505112,0.19700342331219506,0.7720413502383161,0.9690447735505112,0.19700342331219506,1.0,0.0,0.0,False,False
17.0,0.9685035940513438,0.1969192826513079,0.7715843114000359,0.9685035940513438,0.1969192826513079,1.0,0.0,0.0,False,False
17.5,0.9679273324647892,0.19683019016474296,0.7710971423000463,0.9679273324647892,0.19683019016474296,1.0,0.0,0.0,False,False
18.0,0.9673131112876218,0.19673569775917218,0.7705774135284496,0.9673131112876218,0.19673569775917218,1.0,0.0,0.0,False,False
18.5,0.9666577021512006,0.19663530145796093,0.7700224006932397,0.9666577021512006,0.19663530145796093,1.0,0.0,0.0,False,False
19.0,0.9659574708871687,0.19652843240981852,0.7694290384773501,0.9659574708871687,0.19652843240981852,1.0,0.0,0.0,False,False
19.5,0.9652083118475684,0.19641444610308023,0.7687938657444882,0.9652083118475684,0.19641444610308023,1.0,0.0,0.0,False,False
20.0,0.9644055689341112,0.19629260935338794,0.7681129595807232,0.9644055689341112,0.19629260935338794,1.0,0.0,0.0,False,False
20.5,0.9635439400765163,0.19616208450929046,0.7673818555672258,0.9635439400765163,0.19616208450929046,1.0,0.0,0.0,False,False
21.0,0.962617360950712,0.1960219101560333,0.7665954507946787,0.962617360950712,0.1960219101560333,1.0,0.0,0.0,False,False
21.5,0.9616188624556574,0.19587097737682044,0.765747885078837,0.9616188624556574,0.19587097737682044,1.0,0.0,0.0,False,False
22.0,0.48219127816234914,0.09824541616588789,0.38394586199646125,0.9605403947457154,0.19570800033045396,0.502,1.0,0.0,False,False
22.5,0.48160504934646087,0.09815680270472764,0.3834482466417332,0.9593726082598822,0.19553147949148933,0.502,1.0,0.0,False,False
23.0,0.48096849862255353,0.09806050697321322,0.3829079916493403,0.9581045789293895,0.19533965532512595,0.502,1.0,0.0,False,False
23.5,0.4802751770095026,0.09795548557917833,0.3823196914303243,0.956723460178292,0.195130449360913,0.502,1.0,0.0,False,False
24.0,0.47951744699958015,0.09784049701481229,0.38167694998476787,0.9552140378477693,0.1949013884757217,0.502,1.0,0.0,False,False
24.5,0.478686193727404,0.09771405227557003,0.380972141451834,0.9535581548354661,0.1946495065250399,0.502,1.0,0.0,False,False
25.0,0.47777044720495465,0.09757434993034977,0.3801960972746049,0.9517339585756068,0.19437121500069676,0.502,1.0,0.0,False,False
25.5,0.4767568818799407,0.09741918961404579,0.3793376922658949,0.9497149041433082,0.1940621307052705,0.502,1.0,0.0,False,False
26.0,0.47562914428415015,0.09724585508516943,0.37838328919898073,0.9474684149086656,0.1937168427991423,0.502,1.0,0.0,False,False
26.5,0.4743669355458931,0.09705095357699345,0.37731598196889965,0.944954054872297,0.19332859278285547,0.502,1.0,0.0,False,False
27.0,0.47294473751203486,0.09683019111702071,0.3761145463950142,0.9421209910598304,0.19288882692633608,0.502,1.0,0.0,False,False
27.5,0.47133000937619235,0.09657805191814219,0.3747519574580502,0.9389044011477935,0.19238655760586093,0.502,1.0,0.0,False,False
28.0,0.4694805781679574,0.0962873303941011,0.3731932477738563,0.9352202752349749,0.19180743106394643,0.502,1.0,0.0,False,False
28.5,0.4673407673532454,0.09594843020068013,0.3713923371525653,0.9309577038909271,0.19113233107705205,0.502,1.0,0.0,False,False
29.0,0.4629761442573623,0.09516608960957641,0.3678100546477859,0.9259671039883883,0.19033522458274615,0.499992,1.0,0.004,False,False
29.5,0.4581660125692431,0.09430807116106524,0.36385794140817784,0.9200416330027533,0.18937972135864856,0.497984,1.0,0.008,False,False
30.0,0.44543757615923,0.0918375764319556,0.3535999997272744,0.9128866758464701,0.18821335323716576,0.487944,1.0,0.028,False,False
30.5,0.4075499402475892,0.08418957457454629,0.32336036567304294,0.9040673392123915,0.18675759007299594,0.45079600000000003,1.0,0.102,False,False
31.0,0.3720410361386224,0.07703600061871624,0.29500503551990614,0.8929127733370672,0.18488935971467443,0.41666,1.0,0.17,False,False
31.5,0.30599924473614765,0.06354744883933937,0.24245179589680826,0.8783288882973802,0.1824042413611817,0.348388,1.0,0.306,False,False
32.0,0.2344177470840524,0.04886525277064425,0.18555249431340817,0.8583963670467117,0.1789359209142996,0.273088,1.0,0.456,False,True
32.5,0.15988066287156147,0.0334946426558861,0.12638602021567535,0.8293942089535684,0.17375623887723118,0.192768,1.0,0.616,False,True
33.0,0.1029794328100398,0.021725272195197303,0.08125416061484249,0.7829706579030428,0.1651810482892651,0.131524,1.0,0.738,False,True
33.5,0.05724578593917379,0.012203082032568903,0.045042703906604885,0.6953379887665652,0.1482251728764078,0.08232800000000001,1.0,0.836,False,True
34.0,0.02342539473792339,0.005044643685731344,0.018380751052192047,0.45749149945167167,0.09852050007287214,0.05120399999999999,1.0,0.898,True,True
34.5,0.0,0.0,0.0,0.0,0.0,0.031124000000000027,1.0,0.938,True,True
35.0,0.0,0.0,0.0,0.0,0.0,0.019076000000000017,1.0,0.962,True,True
35.5,0.0,0.0,0.0,0.0,0.0,0.013052000000000012,1.0,0.974,True,True
36.0,0.0,0.0,0.0,0.0,0.0,0.008032000000000008,1.0,0.984,True,True
36.5,0.0,0.0,0.0,0.0,0.0,0.0050200000000000045,1.0,0.99,True,True
37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True
37.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True
38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True
38.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True
39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True
